Problem,Damage,Regeneration,Tournament_size,alpha,BestScore,WorstScore,MeanScore,StdDev
ksp,0.0,0.1,10,0.0,115,70,93.26,10.737707732423097
ksp,0.0,0.1,10,0.1,120,-3,91.96,17.92952188715697
ksp,0.0,0.1,10,0.2,113,67,95.34,10.597670132859296
ksp,0.0,0.1,10,0.3,114,49,91.9,12.806646871122537
ksp,0.0,0.1,10,0.4,115,60,94.34,12.085764944169412
ksp,0.0,0.1,10,0.5,110,-7,82.22,21.997485941695746
ksp,0.0,0.1,10,0.6,108,-13,72.58,26.391935997843845
ksp,0.0,0.1,10,0.7,109,-6,81.26,24.407100004143157
ksp,0.0,0.1,10,0.8,101,-7,69.24,27.173336270720103
ksp,0.0,0.1,10,0.9,113,-1,80.94,19.363767975373015
ksp,0.0,0.1,10,1.0,118,-29,73.94,28.96684240961851
ksp,0.0,0.1,11,0.0,110,74,91.34,9.177634749315137
ksp,0.0,0.1,11,0.1,114,62,91.62,11.991306374679473
ksp,0.0,0.1,11,0.2,123,71,95.06,10.414687431013679
ksp,0.0,0.1,11,0.3,124,-2,88.88,19.171236958803995
ksp,0.0,0.1,11,0.4,117,59,93.32,14.247720906180334
ksp,0.0,0.1,11,0.5,101,-20,75.84,27.837252972612518
ksp,0.0,0.1,11,0.6,102,-11,69.62,30.822659303353632
ksp,0.0,0.1,11,0.7,103,-23,66.82,31.966621622548473
ksp,0.0,0.1,11,0.8,109,-14,71.64,31.4368560509372
ksp,0.0,0.1,11,0.9,115,-11,70.46,31.330502839298084
ksp,0.0,0.1,11,1.0,109,-10,69.74,33.13535013503598
ksp,0.0,0.1,12,0.0,118,45,89.5,15.379883495219676
ksp,0.0,0.1,12,0.1,109,-10,87.42,21.97316545243311
ksp,0.0,0.1,12,0.2,122,47,90.32,15.830015406028576
ksp,0.0,0.1,12,0.3,119,-15,87.3,24.87704457805982
ksp,0.0,0.1,12,0.4,113,63,89.3,9.727407104649823
ksp,0.0,0.1,12,0.5,103,-13,80.36,25.23179076692977
ksp,0.0,0.1,12,0.6,115,-15,70,33.91044628646074
ksp,0.0,0.1,12,0.7,115,-9,65.8,33.74151442834727
ksp,0.0,0.1,12,0.8,109,-11,70,32.93716962425798
ksp,0.0,0.1,12,0.9,102,-27,69.34,33.524654345415584
ksp,0.0,0.1,12,1.0,106,-8,70.6,33.30379643738619
ksp,0.0,0.1,13,0.0,116,-7,88.22,18.08177569391065
ksp,0.0,0.1,13,0.1,122,69,92.58,11.419800205550615
ksp,0.0,0.1,13,0.2,112,-1,87.16,18.25819357584592
ksp,0.0,0.1,13,0.3,112,-14,82.32,26.246430272340206
ksp,0.0,0.1,13,0.4,116,-6,89.12,17.69658101419132
ksp,0.0,0.1,13,0.5,111,-20,69.44,35.81651654115538
ksp,0.0,0.1,13,0.6,107,-10,70.92,30.491778751469575
ksp,0.0,0.1,13,0.7,99,-7,65.24,34.43334880902643
ksp,0.0,0.1,13,0.8,114,-6,70.66,31.00270560938256
ksp,0.0,0.1,13,0.9,104,-17,69.3,35.39240665707253
ksp,0.0,0.1,13,1.0,112,-14,64.72,36.023257793275945
ksp,0.0,0.1,14,0.0,113,-17,83.16,24.141048114811266
ksp,0.0,0.1,14,0.1,114,55,87.38,12.64731963214147
ksp,0.0,0.1,14,0.2,117,-11,80.78,27.92284559500426
ksp,0.0,0.1,14,0.3,114,-13,83.66,22.85500882895101
ksp,0.0,0.1,14,0.4,110,-6,87.72,18.287990929702968
ksp,0.0,0.1,14,0.5,114,-4,72.28,28.881912989952443
ksp,0.0,0.1,14,0.6,102,-15,64.7,33.77008094966518
ksp,0.0,0.1,14,0.7,104,-16,62,37.096124446895956
ksp,0.0,0.1,14,0.8,107,-15,63.08,33.30982572449034
ksp,0.0,0.1,14,0.9,106,-13,62.16,38.517613251761134
ksp,0.0,0.1,14,1.0,105,-16,61.86,36.89146242696269
ksp,0.0,0.1,15,0.0,110,-8,80.48,21.969589371284506
ksp,0.0,0.1,15,0.1,102,-12,68.34,36.31135764299582
ksp,0.0,0.1,15,0.2,107,-12,69.54,32.573439787529914
ksp,0.0,0.1,15,0.3,112,-11,74.92,31.8880951492073
ksp,0.0,0.1,15,0.4,115,-10,79.56,27.786474466281362
ksp,0.0,0.1,15,0.5,114,-9,61.6,35.792485814990926
ksp,0.0,0.1,15,0.6,102,-4,72.14,26.461377322352636
ksp,0.0,0.1,15,0.7,104,-9,65.4,33.975981912797984
ksp,0.0,0.1,15,0.8,106,-15,58.5,39.770900037538986
ksp,0.0,0.1,15,0.9,117,-20,61.74,35.28762863517294
ksp,0.0,0.1,15,1.0,112,-14,67.88,34.57534806589155
ksp,0.0,0.1,16,0.0,109,-13,75.76,31.404900176597295
ksp,0.0,0.1,16,0.1,113,-15,72.5,32.06132516644581
ksp,0.0,0.1,16,0.2,106,-9,71.22,32.90387360113067
ksp,0.0,0.1,16,0.3,106,-15,69.6,31.888837532648843
ksp,0.0,0.1,16,0.4,107,-14,69.56,34.24292568084207
ksp,0.0,0.1,16,0.5,103,-30,60,41.25431331808758
ksp,0.0,0.1,16,0.6,121,-12,64.66,36.674859319736306
ksp,0.0,0.1,16,0.7,104,-18,56.98,41.139131775783824
ksp,0.0,0.1,16,0.8,108,-18,64.76,36.95753768633315
ksp,0.0,0.1,16,0.9,105,-19,53.34,39.88790927239041
ksp,0.0,0.1,16,1.0,101,-27,60.18,37.10695517620625
ksp,0.0,0.2,2,0.0,129,85,115.72,8.717891525653506
ksp,0.0,0.2,2,0.1,130,92,115.9,7.928893172364949
ksp,0.0,0.2,2,0.2,129,96,114.24,8.267368853214549
ksp,0.0,0.2,2,0.3,131,96,115.4,7.337352021940719
ksp,0.0,0.2,2,0.4,130,99,115.3,7.410004268912814
ksp,0.0,0.2,2,0.5,123,71,103.64,10.586398666907169
ksp,0.0,0.2,2,0.6,116,67,89.82,12.799378173671291
ksp,0.0,0.2,2,0.7,120,67,91.26,13.147219772830377
ksp,0.0,0.2,2,0.8,118,66,94.46,12.312611752315807
ksp,0.0,0.2,2,0.9,113,53,91.86,12.74396215580427
ksp,0.0,0.2,2,1.0,115,72,93.66,11.267815825144984
ksp,0.0,0.2,3,0.0,128,91,110.82,8.884037508305534
ksp,0.0,0.2,3,0.1,125,87,112.72,9.293491248816924
ksp,0.0,0.2,3,0.2,129,78,110.8,10.176002182004643
ksp,0.0,0.2,3,0.3,131,88,107.64,11.242702848823265
ksp,0.0,0.2,3,0.4,130,88,110.18,8.938999624438647
ksp,0.0,0.2,3,0.5,116,70,100.22,9.543220694529168
ksp,0.0,0.2,3,0.6,106,60,87.06,11.765411083306171
ksp,0.0,0.2,3,0.7,112,58,88.94,10.994265666747388
ksp,0.0,0.2,3,0.8,117,75,90.78,11.04589682799427
ksp,0.0,0.2,3,0.9,108,-10,87.04,21.826738890916456
ksp,0.0,0.2,3,1.0,114,-1,87.48,18.027462044200842
ksp,0.0,0.2,4,0.0,125,89,107.66,8.024477858275839
ksp,0.0,0.2,4,0.1,126,81,106.64,9.391181273635693
ksp,0.0,0.2,4,0.2,125,83,105.82,9.191144806668147
ksp,0.0,0.2,4,0.3,123,84,108.1,9.56662992716167
ksp,0.0,0.2,4,0.4,122,88,106.6,9.240549502169275
ksp,0.0,0.2,4,0.5,124,58,98.32,14.931735823201452
ksp,0.0,0.2,4,0.6,107,60,87.62,12.3749087813583
ksp,0.0,0.2,4,0.7,113,48,84.88,13.526451787486018
ksp,0.0,0.2,4,0.8,122,56,85.46,13.894955772450928
ksp,0.0,0.2,4,0.9,115,50,84.66,14.62819474961463
ksp,0.0,0.2,4,1.0,115,68,88.24,11.39738602326276
ksp,0.0,0.2,5,0.0,123,86,104.66,9.986950669422043
ksp,0.0,0.2,5,0.1,124,85,103.2,9.95295054191449
ksp,0.0,0.2,5,0.2,122,82,106.28,9.81053161720836
ksp,0.0,0.2,5,0.3,122,67,98.58,11.056607591326166
ksp,0.0,0.2,5,0.4,127,73,102,10.548237109699848
ksp,0.0,0.2,5,0.5,121,65,94.44,12.636455199145052
ksp,0.0,0.2,5,0.6,120,-4,85.12,17.69658101419132
ksp,0.0,0.2,5,0.7,109,-3,80.52,16.800437312092534
ksp,0.0,0.2,5,0.8,109,-5,84.16,17.6581599337218
ksp,0.0,0.2,5,0.9,112,52,85.36,12.616413022369725
ksp,0.0,0.2,5,1.0,120,-8,85.18,22.571148280357328
ksp,0.0,0.2,6,0.0,125,73,100.98,11.746454089361155
ksp,0.0,0.2,6,0.1,131,73,101.82,11.619283760285779
ksp,0.0,0.2,6,0.2,128,70,103.02,11.87432490025158
ksp,0.0,0.2,6,0.3,120,78,99.98,9.78230388956278
ksp,0.0,0.2,6,0.4,118,78,100.3,9.62193497447687
ksp,0.0,0.2,6,0.5,114,58,86.96,12.780661411775565
ksp,0.0,0.2,6,0.6,107,-1,82.02,16.784942231484912
ksp,0.0,0.2,6,0.7,114,-8,81.8,21.87440961302424
ksp,0.0,0.2,6,0.8,122,43,85.28,16.059887919907784
ksp,0.0,0.2,6,0.9,108,-1,80.88,16.68757328196093
ksp,0.0,0.2,6,1.0,116,33,80.7,14.4846857904816
ksp,0.0,0.2,7,0.0,126,71,100.78,11.082786800498607
ksp,0.0,0.2,7,0.1,118,65,97.36,12.321807447591047
ksp,0.0,0.2,7,0.2,113,64,98.14,10.728580939695233
ksp,0.0,0.2,7,0.3,115,71,97.3,10.35541857568061
ksp,0.0,0.2,7,0.4,117,73,97.96,11.605698811271951
ksp,0.0,0.2,7,0.5,121,57,94,13.226442284688808
ksp,0.0,0.2,7,0.6,119,43,84.54,15.976015186037156
ksp,0.0,0.2,7,0.7,108,-6,76.42,24.45411363082677
ksp,0.0,0.2,7,0.8,115,-5,80.2,24.955470546637297
ksp,0.0,0.2,7,0.9,107,-6,80.72,21.431466471103672
ksp,0.0,0.2,7,1.0,112,-11,67.82,35.093280943037215
ksp,0.0,0.2,8,0.0,122,67,97.16,12.774911637539368
ksp,0.0,0.2,8,0.1,116,75,98.02,9.647861135495054
